date,geo_code,category,count
0,35,4,1
2,35,4,1
3,59,3,1
6,35,2,1
10,59,4,1
12,59,2,2
20,59,2,1
26,59,2,1
29,35,2,1
30,59,3,1
32,35,5,1
33,35,5,1
33,24,3,1
34,35,4,1
34,35,7,1
35,35,2,1
35,35,4,1
35,35,5,1
35,59,5,1
36,35,4,1
36,35,3,1
36,35,5,1
36,35,6,1
38,35,5,2
38,35,6,2
38,35,4,1
38,59,4,1
38,59,5,1
38,59,2,1
39,59,7,1
40,24,6,1
40,35,4,1
40,35,5,1
40,59,2,2
40,59,4,4
40,59,5,2
40,48,4,1
41,35,5,3
41,35,4,1
41,35,3,1
41,35,2,1
41,48,3,1
42,59,4,2
42,59,5,2
42,59,6,1
42,59,7,1
43,35,3,1
43,48,5,1
43,48,2,1
43,35,5,2
43,35,4,1
44,35,7,1
44,35,6,1
44,59,1,1
44,59,4,2
44,59,3,1
44,59,2,1
44,48,6,2
44,48,2,4
44,48,4,2
44,35,2,1
44,48,5,1
44,48,3,1
45,35,3,1
45,59,3,3
45,59,4,1
45,59,5,1
45,59,7,2
45,35,4,1
46,35,2,3
46,35,3,2
46,48,2,5
46,59,2,1
46,59,5,3
46,59,6,2
46,59,4,1
47,35,4,1
47,35,1,2
47,35,2,5
47,35,6,1
47,35,3,5
47,35,5,3
47,47,5,1
47,46,3,1
47,13,4,1
47,48,7,1
47,48,2,1
47,48,4,1
47,48,6,1
47,59,7,1
47,59,3,5
47,59,4,1
48,35,2,6
48,35,5,3
48,35,6,2
48,35,3,2
48,35,7,1
48,35,4,1
48,46,2,2
48,47,5,1
48,46,3,1
49,35,5,4
49,35,3,1
49,35,6,1
49,35,4,4
49,35,2,1
49,13,4,1
49,48,5,2
49,11,4,1
49,47,2,2
49,47,3,2
50,35,5,3
50,35,2,3
50,35,4,6
50,35,6,2
50,35,3,1
50,46,6,2
50,46,4,1
50,12,7,2
50,12,2,1
50,13,2,2
50,13,4,2
51,35,3,3
51,35,5,4
51,35,6,1
51,35,2,2
51,12,4,2
51,13,2,1
51,46,7,1
52,35,3,3
52,35,2,1
52,35,5,2
52,13,1,1
52,35,6,1
52,47,4,1
52,46,5,3
52,46,4,2
52,46,3,1
52,46,2,1
53,35,4,10
53,35,2,6
53,35,5,4
53,35,3,3
53,35,6,1
53,13,5,2
53,13,4,1
53,47,2,3
53,47,3,2
53,35,7,1
53,46,4,1
53,46,6,1
54,35,3,4
54,35,5,5
54,35,4,6
54,35,2,8
54,35,7,1
54,35,6,1
54,11,3,1
55,35,3,7
55,35,2,8
55,35,5,6
55,35,6,7
55,35,7,6
55,35,4,6
55,47,2,2
55,47,4,1
55,47,5,3
56,35,2,5
56,35,4,8
56,35,1,1
56,35,3,6
56,35,5,2
56,35,6,1
56,46,4,1
56,13,3,2
56,13,4,2
56,13,5,1
56,13,2,1
56,46,2,1
57,35,2,7
57,35,6,2
57,35,4,1
57,35,5,1
57,11,2,1
58,46,4,1
58,35,7,5
58,35,2,15
58,35,4,13
58,35,3,18
58,35,1,2
58,35,5,8
58,35,6,7
58,12,1,1
59,35,2,16
59,35,6,7
59,35,3,9
59,35,7,5
59,35,4,15
59,35,5,12
59,46,3,1
59,13,2,1
60,35,6,10
60,35,2,28
60,35,3,10
60,35,5,8
60,35,4,15
60,35,7,5
60,35,1,5
60,46,2,4
60,46,1,1
60,46,3,3
60,46,5,4
60,46,4,1
60,13,4,2
60,13,2,4
60,13,5,1
60,13,1,1
60,11,2,2
61,35,5,30
61,35,3,23
61,35,2,49
61,35,1,6
61,35,4,25
61,35,6,11
61,35,7,11
61,46,2,1
61,13,2,2
61,13,5,4
61,13,4,1
62,35,3,3
62,35,5,8
62,35,4,8
62,35,2,8
62,35,7,5
62,35,1,1
62,35,6,4
62,13,5,1
62,13,6,2
62,13,2,7
62,13,1,2
62,11,2,1
62,11,4,1
63,35,3,2
63,35,2,5
63,35,5,7
63,35,4,9
63,35,6,1
63,35,7,1
63,13,4,2
63,13,6,2
63,13,2,2
64,35,5,7
64,35,3,8
64,35,2,8
64,35,6,3
64,35,4,3
64,35,7,1
65,35,2,31
65,35,1,2
65,35,3,8
65,35,4,20
65,35,5,8
65,35,6,4
65,35,7,1
65,13,2,1
65,13,5,1
66,35,5,1
66,35,4,1
66,35,2,3
66,11,2,2
66,11,3,1
66,13,5,1
66,13,2,1
67,13,2,2
67,13,4,5
67,13,3,2
67,13,5,2
67,35,3,3
67,35,5,6
67,35,2,5
67,35,4,2
67,35,1,1
67,35,6,2
67,35,7,2
68,11,4,1
68,13,2,3
68,13,6,3
68,13,4,2
68,13,5,2
68,35,4,18
68,35,2,16
68,35,5,8
68,35,7,4
68,35,6,6
68,35,3,8
68,35,1,2
69,13,2,2
69,13,3,1
69,13,5,1
69,35,6,9
69,35,2,10
69,35,5,10
69,35,4,15
69,35,3,11
69,35,7,9
69,35,1,3
